"﻿""Series""";Time;Value
yzh mirror;2025-07-16T10:20:00+08:00;2250.3700689333773
yzh mirror;2025-07-16T10:30:00+08:00;1222.221944755357
yzh mirror;2025-07-16T10:40:00+08:00;1560.5081474278234
yzh mirror;2025-07-16T10:50:00+08:00;2087.262977063774
yzh mirror;2025-07-16T11:00:00+08:00;1622.1882959096793
yzh mirror;2025-07-16T11:10:00+08:00;1961.3722475051236
yzh mirror;2025-07-16T11:20:00+08:00;1583.3340932988012
yzh mirror;2025-07-16T11:30:00+08:00;1645.098584790794
yzh mirror;2025-07-16T11:40:00+08:00;1337.5003532322266
yzh mirror;2025-07-16T11:50:00+08:00;1174.2229998557032
yzh mirror;2025-07-16T12:00:00+08:00;998.5431779979475
yzh mirror;2025-07-16T12:10:00+08:00;1934.918024797228
yzh mirror;2025-07-16T12:20:00+08:00;2415.9074482010465
yzh mirror;2025-07-16T12:30:00+08:00;1423.8884107103984
yzh mirror;2025-07-16T12:40:00+08:00;1765.916422588517
yzh mirror;2025-07-16T12:50:00+08:00;1372.027027058728
yzh mirror;2025-07-16T13:00:00+08:00;1862.3879006732684
yzh mirror;2025-07-16T13:10:00+08:00;1675.6994741395083
yzh mirror;2025-07-16T13:20:00+08:00;1729.7077867758203
yzh mirror;2025-07-16T13:30:00+08:00;991.187613884844
yzh mirror;2025-07-16T13:40:00+08:00;1582.7204998422262
yzh mirror;2025-07-16T13:50:00+08:00;2402.5654457510377
yzh mirror;2025-07-16T14:00:00+08:00;1665.5933960974917
yzh mirror;2025-07-16T14:10:00+08:00;1466.819014597788
yzh mirror;2025-07-16T14:20:00+08:00;1271.1524429876306
yzh mirror;2025-07-16T14:30:00+08:00;1135.7031805716333
yzh mirror;2025-07-16T14:40:00+08:00;1519.829179504587
yzh mirror;2025-07-16T14:50:00+08:00;2346.524334543775
yzh mirror;2025-07-16T15:00:00+08:00;2437.639229721492
yzh mirror;2025-07-16T15:10:00+08:00;1472.966564512128
yzh mirror;2025-07-16T15:20:00+08:00;1536.1927371333204
yzh mirror;2025-07-16T15:30:00+08:00;2810.442576594509
yzh mirror;2025-07-16T15:40:00+08:00;1357.5148163006593
yzh mirror;2025-07-16T15:50:00+08:00;2144.417540851625
yzh mirror;2025-07-16T16:00:00+08:00;3081.539041627233
yzh mirror;2025-07-16T16:10:00+08:00;1411.236460705623
yzh mirror;2025-07-16T16:20:00+08:00;2185.548420619788
